Year,Invention,Inventor,Patent_Number,Impact_Domain
1769,Steam Engine (Separate Condenser),James Watt,GB913,Power & Energy
1769,Water Frame (Spinning Machine),Richard Arkwright,GB931,Textiles
1770,Spinning Jenny,James Hargreaves,GB962,Textiles
1783,Grooved Rollers (Iron Rolling),Henry Cort,GB1351,Iron & Steel
1784,Puddling Process (Iron Refining),Henry Cort,GB1420,Iron & Steel
1794,Cotton Gin,Eli Whitney,US72X,Agriculture
1834,Mechanical Reaper,Cyrus McCormick,USX8277,Agriculture
1837,Electric Telegraph,Cooke and Wheatstone,GB7390,Communications
1842,Facsimile Machine (Early Fax),Alexander Bain,GB9574,Communications
1846,Lockstitch Sewing Machine,Elias Howe,US4750,Textiles
